"Campaign Name","Mediaplan","Mediaplan Placement","Current value","Campaign Mp Label"
"MCMMIA_2021_COL_KELLOGGS_HEALTHYKIDS_SEASONAL_HEALTHYKIDSGRANOLA_FACEBOOK_FACEBOOKANDINSTAGRAM_WEBSITECLICKS_CPC_FAMILYBREAKFAST","2021_ktbo_kube_Adverity_Mediaplan_Abril-Colombia","Facebook and Instagram-CO","90,920","MCMMIA_2021_COL_Kelloggs_Healthy Kids_Seasonal_Healthy Kids Granola_Facebook_Facebook and Instagram_Website Clicks_CPC_Family Breakfast"
"MCMCO_2021_COL_KELLOGGS_HEALTHYKIDS_SEASONAL_HEALTHYKIDSGRANOLA_SIZMEK_FAMILYBREAKFAST_CPM-KIDSCORP","2021_ktbo_kube_Adverity_Mediaplan_Abril-Colombia","Kidscorp-CO","164,212","MCMCO_2021_COL_Kelloggs_Healthy Kids_Seasonal_Healthy Kids Granola_Sizmek_Family Breakfast_CPM-Kidscorp"
"MCMCO_2021_COL_KELLOGGS_HEALTHYKIDS_SEASONAL_HEALTHYKIDSGRANOLA_KIDSCORP_FAMILYBREAKFAST_CPM-KIDSCORP","2021_ktbo_kube_Adverity_Mediaplan_Abril-Colombia","Kidscorp-CO","","MCMCO_2021_COL_Kelloggs_Healthy Kids_Seasonal_Healthy Kids Granola_Kidscorp_Family Breakfast_CPM-Kidscorp"
"MCMCO_2021_COL_KELLOGGS_HEALTHYKIDS_SEASONAL_HEALTHYKIDSGRANOLA_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS-STANDARDBANNERS","2021_ktbo_kube_Adverity_Mediaplan_Abril-Colombia","Xaxis - Standard Banners-CO","1,569,730","MCMCO_2021_COL_Kelloggs_Healthy Kids_Seasonal_Healthy Kids Granola_Sizmek_Family Breakfast_CPM-Xaxis - Standard Banners"
"MCMCO_2021_COL_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_SIZMEK_FAMILYBREAKFAST_CPM-SPOTIFY-TAKEOVER","2021_ktbo_kube_Adverity_Mediaplan_Abril-Colombia","Spotify-Takeover-CO","106,622","MCMCO_2021_COL_Kelloggs_Zucaritas_Seasonal_Pura Garra_Sizmek_Family Breakfast_CPM-Spotify-Takeover"
"MCMCO_2021_COL_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_IMS-CANDYCRUSH_FAMILYBREAKFAST_CPV-IMS-CANDYCRUSH","2021_ktbo_kube_Adverity_Mediaplan_Abril-Colombia","IMS-Candy Crush-CO","","MCMCO_2021_COL_Kelloggs_Zucaritas_Seasonal_Pura Garra_IMS-Candy Crush_Family Breakfast_CPV-IMS-Candy Crush"
"MCMCO_2021_COL_KELLOGGS_HEALTHYKIDS_SEASONAL_HEALTHYKIDSGRANOLA_SIZMEK_FAMILYBREAKFAST_CPM-IMS-SNAPCHAT","2021_ktbo_kube_Adverity_Mediaplan_Abril-Colombia","IMS-SnapChat-CO","","MCMCO_2021_COL_Kelloggs_Healthy Kids_Seasonal_Healthy Kids Granola_Sizmek_Family Breakfast_CPM-IMS-SnapChat"
"MCMCO_2021_COL_KELLOGGS_HEALTHYKIDS_SEASONAL_HEALTHYKIDSGRANOLA_SIZMEK_FAMILYBREAKFAST_CPM-DUNNHUMBY-DISPLAY","2021_ktbo_kube_Adverity_Mediaplan_Abril-Colombia","Dunnhumby - Display-CO","227,689","MCMCO_2021_COL_Kelloggs_Healthy Kids_Seasonal_Healthy Kids Granola_Sizmek_Family Breakfast_CPM-Dunnhumby - Display"
"MCMMIA_2021_COL_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_VIEWS_CPV_EVENINGME","2021_ktbo_kube_Adverity_Mediaplan_Abril-Colombia","Facebook and Instagram-CO","234,103.00","MCMMIA_2021_COL_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Views_CPV_Evening Me"
"MCMCO_2021_COL_KELLOGGS_EXTRA_SEASONAL_EXTRA_RAPPI_BREAKFASTFORONE_CPM-RAPPI","2021_ktbo_kube_Adverity_Mediaplan_Abril-Colombia","Rappi-CO","","MCMCO_2021_COL_Kelloggs_Extra_Seasonal_Extra_Rappi_Breakfast for One_CPM-Rappi"
"MCMMIA_2021_COL_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_ALWAYSON_AFFINITYAUDIENCES_CPM_EVENINGME","2021_ktbo_kube_Adverity_Mediaplan_Abril-Colombia","Youtube-CO","2,750,439","MCMMIA_2021_COL_Kelloggs_Pringles_Seasonal_Google_Youtube_Always On_Affinity Audiences_CPM_Evening Me"
"MCMMIA_2021_COL_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_ALWAYSON_AFFINITYAUDIENCES_CPV_EVENINGME","2021_ktbo_kube_Adverity_Mediaplan_Abril-Colombia","Youtube-CO","1,439,304.00","MCMMIA_2021_COL_Kelloggs_Pringles_Seasonal_Google_Youtube_Always On_Affinity Audiences_CPV_Evening Me"
"MCMMIA_2021_COL_KELLOGGS_MASTERBRAND_SEASONAL_DIADELAMUJER_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_BREAKFASTFORONE","2021_ktbo_kube_Adverity_Mediaplan_Abril-Colombia","Facebook and Instagram-CO","1,415,366","MCMMIA_2021_COL_Kelloggs_Masterbrand_Seasonal_Dia de la Mujer_Facebook_Facebook and Instagram_Reach_CPM_Breakfast for One"
"KTBO_2021_BRA_KELLOGGS_PRINGLES_SEASONAL_WELCOMERUFFLES_REDMAS_CPM_EVENINGLEISURETIME","0321_KTBO_MediaBuying_MediaPlanTaxonomy_WelcomeRuffles_Pringles (2)","Redmas-BR","","KTBO_2021_BRA_Kelloggs_Pringles_Seasonal_WelcomeRuffles_Redmas_CPM_EveningLeisureTime"
"KTBO_2021_BRA_KELLOGGS_PRINGLES_SEASONAL_WELCOMERUFFLES_FACEBOOK_FACEBOOK_AWARENESS_CPM_EVENINGLEISURETIME","0321_KTBO_MediaBuying_MediaPlanTaxonomy_WelcomeRuffles_Pringles (2)","Facebook and Instagram-BR","","KTBO_2021_BRA_Kelloggs_Pringles_Seasonal_WelcomeRuffles_Facebook_Facebook_Awareness_CPM_EveningLeisureTime"
"KTBO_2021_BRA_KELLOGGS_PRINGLES_SEASONAL_WELCOMERUFFLES_GLOBO_CPM_EVENINGLEISURETIME","0321_KTBO_MediaBuying_MediaPlanTaxonomy_WelcomeRuffles_Pringles (2)","Goblo.com-BR","","KTBO_2021_BRA_Kelloggs_Pringles_Seasonal_WelcomeRuffles_Globo_CPM_EveningLeisureTime"
"KTBO_2021_BRA_KELLOGGS_PRINGLES_SEASONAL_WELCOMERUFFLES_FSP_CPM_EVENINGLEISURETIME","0321_KTBO_MediaBuying_MediaPlanTaxonomy_WelcomeRuffles_Pringles (2)","Folha de São Paulo-BR","","KTBO_2021_BRA_Kelloggs_Pringles_Seasonal_WelcomeRuffles_FSP_CPM_EveningLeisureTime"
"KTBO_2021_BRA_KELLOGGS_PRINGLES_SEASONAL_WELCOMERUFFLES_SENSACIONALISTA_CPM_EVENINGLEISURETIME","0321_KTBO_MediaBuying_MediaPlanTaxonomy_WelcomeRuffles_Pringles (2)","Sensacionalista-BR","","KTBO_2021_BRA_Kelloggs_Pringles_Seasonal_WelcomeRuffles_Sensacionalista_CPM_EveningLeisureTime"
"KTBO_2021_BRA_KELLOGGS_PRINGLES_SEASONAL_WELCOMERUFFLES_MYND8-CPM-SINCERO_EVENINGLEISURETIME","0321_KTBO_MediaBuying_MediaPlanTaxonomy_WelcomeRuffles_Pringles (2)","Sincero Oficial-BR","","KTBO_2021_BRA_Kelloggs_Pringles_Seasonal_WelcomeRuffles_Mynd8-CPM-Sincero_EveningLeisureTime"
"KTBO_2021_BRA_KELLOGGS_PRINGLES_SEASONAL_WELCOMERUFFLES_MYND8-CPM-GINA_EVENINGLEISURETIME","0321_KTBO_MediaBuying_MediaPlanTaxonomy_WelcomeRuffles_Pringles (2)","Gina Indelicada-BR","","KTBO_2021_BRA_Kelloggs_Pringles_Seasonal_WelcomeRuffles_Mynd8-CPM-Gina_EveningLeisureTime"
"KTBO_2021_BRA_KELLOGGS_PRINGLES_SEASONAL_WELCOMERUFFLES_MYND8-CPM-NAZARÉ_EVENINGLEISURETIME","0321_KTBO_MediaBuying_MediaPlanTaxonomy_WelcomeRuffles_Pringles (2)","Nazaré Amarga-BR","","KTBO_2021_BRA_Kelloggs_Pringles_Seasonal_WelcomeRuffles_Mynd8-CPM-Nazaré_EveningLeisureTime"
"KTBO_2021_BRA_KELLOGGS_PRINGLES_SEASONAL_WELCOMERUFFLES_GOOGLE_CPM_EVENINGLEISURETIME","0321_KTBO_MediaBuying_MediaPlanTaxonomy_WelcomeRuffles_Pringles (2)","Display-BR","","KTBO_2021_BRA_Kelloggs_Pringles_Seasonal_WelcomeRuffles_Google_CPM_EveningLeisureTime"
"KTBO_2021_BRA_KELLOGGS_PRINGLES_SEASONAL_WELCOMERUFFLES_TWITTER_TWITTER_AWARENESS_CPM","0321_KTBO_MediaBuying_MediaPlanTaxonomy_WelcomeRuffles_Pringles (2)","Twitter-BR","","KTBO_2021_BRA_Kelloggs_Pringles_Seasonal_WelcomeRuffles_Twitter_Twitter_Awareness_CPM_EveningLeisureTime"
"MCMMIA_2020_CHL_KELLOGGS_MASTERBRAND_SEASONAL_MASTERBRAND_FACEBOOK_FACEBOOKANDINSTAGRAM_VIEWS_CPCV_BREAKFASTFORONE","2021_ktbo_kube_Adverity_Mediaplan_Abril-Miami","Facebook and Instagram-CL","","MCMMIA_2020_CHL_Kelloggs_Masterbrand_Seasonal_Masterbrand_Facebook_Facebook and Instagram_Views_CPCV_Breakfast for One"
"MCMMIA_2020_CHL_KELLOGGS_MASTERBRAND_SEASONAL_GOOGLE_YOUTUBE_MASTERBRAND_AFFINITYAUDIENCES_CPV_BREAKFASTFORONE","2021_ktbo_kube_Adverity_Mediaplan_Abril-Miami","Youtube-CL","","MCMMIA_2020_CHL_Kelloggs_Masterbrand_Seasonal_Google_Youtube_Masterbrand_Affinity Audiences_CPV_Breakfast for One"
"MCMMIA_2020_CHL_KELLOGGS_MASTERBRAND_SEASONAL_MASTERBRAND_SIZMEK_BREAKFASTFORONE_CPCV-XAXISPRE-ROLL","2021_ktbo_kube_Adverity_Mediaplan_Abril-Miami","Xaxis Pre-Roll -CL","","MCMMIA_2020_CHL_Kelloggs_Masterbrand_Seasonal_Masterbrand_Sizmek_Breakfast for One_CPCV-Xaxis Pre-Roll"
"MCMMIA_2020_CHL_KELLOGGS_MASTERBRAND_SEASONAL_MASTERBRAND_SIZMEK_BREAKFASTFORONE_CPM-XAXISDYNAMICVIDEO","2021_ktbo_kube_Adverity_Mediaplan_Abril-Miami","Xaxis Dynamic Video-CL","","MCMMIA_2020_CHL_Kelloggs_Masterbrand_Seasonal_Masterbrand_Sizmek_Breakfast for One_CPM-Xaxis Dynamic Video"
"MCMPR_2021_PRI_KELLOGGS_SPECIALK_SEASONAL_YOSOY_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-DISPLAY","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Xaxis - Display-PR","2,251,580","MCMPR_2021_PRI_Kelloggs_Special K_Seasonal_Yo Soy_Sizmek_Breakfast for One_CPM-Xaxis - Display"
"MCMPR_2021_PRI_KELLOGGS_PRINGLES_SEASONAL_MEGHAN_SNAPCHAT_EVENINGME_CPM-SNAPCHAT","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","SnapChat-PR","","MCMPR_2021_PRI_Kelloggs_Pringles_Seasonal_Meghan_SnapChat_Evening Me_CPM-SnapChat"
"MCMMIA_2021_GTM_KELLOGGS_ZUCARITAS_SEASONAL_GOOGLE_YOUTUBE_PURAGARRA_AFFINITYAUDIENCES_CPV_FAMILYBREAKFAST","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Youtube-GT","444,895.00","MCMMIA_2021_GTM_Kelloggs_Zucaritas_Seasonal_Google_Youtube_Pura Garra_Affinity Audiences_CPV_Family Breakfast"
"MCMPR_2021_GTM_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Xaxis - Video-GT","","MCMPR_2021_GTM_Kelloggs_Zucaritas_Seasonal_Pura Garra_Sizmek_Family Breakfast_CPV-Xaxis - Video"
"MCMMIA_2021_SLV_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Facebook and Instagram-SV","1,717,428","MCMMIA_2021_SLV_Kelloggs_Zucaritas_Seasonal_Pura Garra_Facebook_Facebook and Instagram_Reach_CPM_Family Breakfast"
"MCMMIA_2021_SLV_KELLOGGS_ZUCARITAS_SEASONAL_GOOGLE_YOUTUBE_PURAGARRA_AFFINITYAUDIENCES_CPV_FAMILYBREAKFAST","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Youtube-SV","231,360.00","MCMMIA_2021_SLV_Kelloggs_Zucaritas_Seasonal_Google_Youtube_Pura Garra_Affinity Audiences_CPV_Family Breakfast"
"MCMPR_2021_SLV_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Xaxis - Video-SV","","MCMPR_2021_SLV_Kelloggs_Zucaritas_Seasonal_Pura Garra_Sizmek_Family Breakfast_CPV-Xaxis - Video"
"MCMMIA_2021_GTM_KELLOGGS_MASTERBRAND_SEASONAL_HERSHEYS_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Facebook and Instagram-GT","2,065,113","MCMMIA_2021_GTM_Kelloggs_Masterbrand_Seasonal_Hersheys_Facebook_Facebook and Instagram_Reach_CPM_Family Breakfast"
"MCMMIA_2021_GTM_KELLOGGS_MASTERBRAND_SEASONAL_GOOGLE_YOUTUBE_HERSHEYS_AFFINITYAUDIENCES_CPV_FAMILYBREAKFAST","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Youtube-GT","","MCMMIA_2021_GTM_Kelloggs_Masterbrand_Seasonal_Google_Youtube_Hersheys_Affinity Audiences_CPV_Family Breakfast"
"MCMMIA_2021_CRI_KELLOGGS_MASTERBRAND_SEASONAL_HERSHEYS_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Facebook and Instagram-CR","1,050,043","MCMMIA_2021_CRI_Kelloggs_Masterbrand_Seasonal_Hersheys_Facebook_Facebook and Instagram_Reach_CPM_Family Breakfast"
"MCMMIA_2021_CRI_KELLOGGS_MASTERBRAND_SEASONAL_GOOGLE_YOUTUBE_HERSHEYS_AFFINITYAUDIENCES_CPV_FAMILYBREAKFAST","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Youtube-CR","","MCMMIA_2021_CRI_Kelloggs_Masterbrand_Seasonal_Google_Youtube_Hersheys_Affinity Audiences_CPV_Family Breakfast"
"MCMMIA_2021_SLV_KELLOGGS_MASTERBRAND_SEASONAL_HERSHEYS_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Facebook and Instagram-SV","944,836","MCMMIA_2021_SLV_Kelloggs_Masterbrand_Seasonal_Hersheys_Facebook_Facebook and Instagram_Reach_CPM_Family Breakfast"
"MCMMIA_2021_SLV_KELLOGGS_MASTERBRAND_SEASONAL_GOOGLE_YOUTUBE_HERSHEYS_AFFINITYAUDIENCES_CPV_FAMILYBREAKFAST","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Youtube-SV","","MCMMIA_2021_SLV_Kelloggs_Masterbrand_Seasonal_Google_Youtube_Hersheys_Affinity Audiences_CPV_Family Breakfast"
"MCMPR_2021_GTM_KELLOGGS_MASTERBRAND_SEASONAL_HERSHEYS_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Xaxis - Video-GT","","MCMPR_2021_GTM_Kelloggs_Masterbrand_Seasonal_Hersheys_Sizmek_Family Breakfast_CPV-Xaxis - Video"
"MCMPR_2021_CRI_KELLOGGS_MASTERBRAND_SEASONAL_HERSHEYS_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Xaxis - Video-CR","","MCMPR_2021_CRI_Kelloggs_Masterbrand_Seasonal_Hersheys_Sizmek_Family Breakfast_CPV-Xaxis - Video"
"MCMPR_2021_SLV_KELLOGGS_MASTERBRAND_SEASONAL_HERSHEYS_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Xaxis - Video-SV","","MCMPR_2021_SLV_Kelloggs_Masterbrand_Seasonal_Hersheys_Sizmek_Family Breakfast_CPV-Xaxis - Video"
"MCMMIA_2021_PAN_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_BREAKFASTFORONE","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Facebook and Instagram-PA","1,719,989","MCMMIA_2021_PAN_Kelloggs_Masterbrand_Seasonal_Despierta Mucho Mas_Facebook_Facebook and Instagram_Reach_CPM_Breakfast for One"
"MCMMIA_2021_PAN_KELLOGGS_MASTERBRAND_SEASONAL_GOOGLE_YOUTUBE_DESPIERTAMUCHOMAS_AFFINITYAUDIENCES_CPV_BREAKFASTFORONE","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Youtube-PA","356,490.00","MCMMIA_2021_PAN_Kelloggs_Masterbrand_Seasonal_Google_Youtube_Despierta Mucho Mas_Affinity Audiences_CPV_Breakfast for One"
"MCMPR_2021_PAN_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_SIZMEK_BREAKFASTFORONE_CPV-XAXIS-VIDEO","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Xaxis - Video-PA","31,835.00","MCMPR_2021_PAN_Kelloggs_Masterbrand_Seasonal_Despierta Mucho Mas_Sizmek_Breakfast for One_CPV-Xaxis - Video"
"MCMMIA_2021_PRI_KELLOGGS_SPECIALK_SEASONAL_YOSOY_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_BREAKFASTFORONE","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Facebook and Instagram-PR","3,367,049","MCMMIA_2021_PRI_Kelloggs_Special K_Seasonal_Yo Soy_Facebook_Facebook and Instagram_Reach_CPM_Breakfast for One"
"MCMMIA_2021_PRI_KELLOGGS_SPECIALK_SEASONAL_GOOGLE_YOUTUBE_YOSOY_AFFINITYAUDIENCES_CPV_BREAKFASTFORONE","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Youtube-PR","1,466,677.00","MCMMIA_2021_PRI_Kelloggs_Special K_Seasonal_Google_Youtube_Yo Soy_Affinity Audiences_CPV_Breakfast for One"
"MCMPR_2021_PRI_KELLOGGS_SPECIALK_SEASONAL_YOSOY_AUDIO_BREAKFASTFORONE_CPM-AUDIO","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Audio-PR","","MCMPR_2021_PRI_Kelloggs_Special K_Seasonal_Yo Soy_Audio_Breakfast for One_CPM-Audio"
"MCMPR_2021_PRI_KELLOGGS_SPECIALK_SEASONAL_YOSOY_SIZMEK_BREAKFASTFORONE_CPM-ADMAZING","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Admazing-PR","","MCMPR_2021_PRI_Kelloggs_Special K_Seasonal_Yo Soy_Sizmek_Breakfast for One_CPM-Admazing"
"MCMMIA_2021_PRI_KELLOGGS_KOMPLETE_SEASONAL_GOOGLE_YOUTUBE_KOMPLETE_AFFINITYAUDIENCES_CPV_BREAKFASTFORONE","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Youtube-PR","1,436,816.00","MCMMIA_2021_PRI_Kelloggs_Komplete_Seasonal_Google_Youtube_Komplete_Affinity Audiences_CPV_Breakfast for One"
"MCMPR_2021_PRI_KELLOGGS_KOMPLETE_SEASONAL_KOMPLETE_AUDIO_BREAKFASTFORONE_CPM-AUDIO","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Audio-PR","","MCMPR_2021_PRI_Kelloggs_Komplete_Seasonal_Komplete_Audio_Breakfast for One_CPM-Audio"
"MCMMIA_2021_GTM_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_VERANOX2_AFFINITYAUDIENCES_CPV_EVENINGME","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Youtube-GT","","MCMMIA_2021_GTM_Kelloggs_Pringles_Seasonal_Google_Youtube_Verano x2_Affinity Audiences_CPV_Evening Me"
"MCMMIA_2021_CRI_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_VERANOX2_AFFINITYAUDIENCES_CPV_EVENINGME","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Youtube-CR","","MCMMIA_2021_CRI_Kelloggs_Pringles_Seasonal_Google_Youtube_Verano x2_Affinity Audiences_CPV_Evening Me"
"MCMMIA_2021_PAN_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_VERANOX2_AFFINITYAUDIENCES_CPV_EVENINGME","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Youtube-PA","","MCMMIA_2021_PAN_Kelloggs_Pringles_Seasonal_Google_Youtube_Verano x2_Affinity Audiences_CPV_Evening Me"
"MCMMIA_2021_DOM_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_VERANOX2_AFFINITYAUDIENCES_CPV_EVENINGME","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Youtube-DO","","MCMMIA_2021_DOM_Kelloggs_Pringles_Seasonal_Google_Youtube_Verano x2_Affinity Audiences_CPV_Evening Me"
"MCMPR_2021_PRI_KELLOGGS_PRINGLES_SEASONAL_MEGHAN_SIZMEK_EVENINGME_CPCV-ADMAZING","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Admazing-PR","28,624.00","MCMPR_2021_PRI_Kelloggs_Pringles_Seasonal_Meghan_Sizmek_Evening Me_CPCV-Admazing"
"MCMPR_2021_PRI_KELLOGGS_PRINGLES_SEASONAL_MEGHAN_XAXISPUSHNOTIFICATIONADS_EVENINGME_CPC-XAXISPUSHNOTIFICATIONADS","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Xaxis PUSH NOTIFICATION ADS-PR","","MCMPR_2021_PRI_Kelloggs_Pringles_Seasonal_Meghan_Xaxis PUSH NOTIFICATION ADS_Evening Me_CPC-Xaxis PUSH NOTIFICATION ADS"
"MCMPR_2021_SLV_KELLOGGS_CHOCOKRISPIS_SEASONAL_ALOGRANDE_CLAROMOBILE_FAMILYBREAKFAST_CPM-CLAROMOBILE","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Claro Mobile-SV","","MCMPR_2021_SLV_Kelloggs_Choco Krispis_Seasonal_A lo grande_Claro Mobile_Family Breakfast_CPM-Claro Mobile"
"MCMPR_2021_DOM_KELLOGGS_KOMPLETE_SEASONAL_KOMPLETE_SIZMEK_BREAKFASTFORONE_CPV-XAXIS-VIDEO","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Xaxis - Video-DO","42,517.00","MCMPR_2021_DOM_Kelloggs_Komplete_Seasonal_Komplete_Sizmek_Breakfast for One_CPV-Xaxis - Video"
"MCMPR_2021_PAN_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_SIZMEK_BREAKFASTFORONE_CPV-EIKON","2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Eikon-PA","","MCMPR_2021_PAN_Kelloggs_Masterbrand_Seasonal_Despierta Mucho Mas_Sizmek_Breakfast for One_CPV-Eikon"
"MCMMIA_2021_COL_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_FACEBOOK_FACEBOOKANDINSTAGRAM_TRAFFIC(CLICKSTOWEBSITE)_CPC_EVENINGME","2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox","Facebook and Instagram-CO","","MCMMIA_2021_COL_Kelloggs_Pringles_Seasonal_Promo Xbox_Facebook_Facebook and Instagram_Traffic (clicks to website)_CPC_Evening Me"
"MCMMIA_2021_ARG_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox","Facebook and Instagram-AR","","MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_Promo Xbox_Facebook_Facebook and Instagram_Reach_CPM_Evening Me"
"MCMMIA_2021_ARG_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_SIZMEK_EVENINGME_CPM-XAXIS-STANDARDBANNERS","2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox","Xaxis - Standard Banners-AR","","MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_Promo Xbox_Sizmek_Evening Me_CPM-Xaxis - Standard Banners"
"MCMMIA_2021_ARG_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_PROMOXBOX_AFFINITYAUDIENCES_CPM_EVENINGME","2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox","Youtube-AR","","MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_Google_Youtube_Promo Xbox_Affinity Audiences_CPM_Evening Me"
"MCMMIA_2021_ARG_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_PROMOXBOX_AFFINITYAUDIENCES_CPV_EVENINGME","2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox","Youtube-AR","","MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_Google_Youtube_Promo Xbox_Affinity Audiences_CPV_Evening Me"
"MCMMIA_2021_ARG_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_SPOTIFY_EVENINGME_CPV-SPOTIFY","2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox","Spotify-AR","","MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_Promo Xbox_Spotify_Evening Me_CPV-Spotify"
"MCMMIA_2021_ARG_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_SPOTIFY_EVENINGME_CPE-SPOTIFY","2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox","Spotify-AR","","MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_Promo Xbox_Spotify_Evening Me_CPE-Spotify"
"MCMMIA_2021_ARG_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_FACEBOOK_FACEBOOKANDINSTAGRAM_WEBSITECLICKS_CPC_EVENINGME","2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox","Facebook and Instagram-AR","","MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_Promo Xbox_Facebook_Facebook and Instagram_Website Clicks_CPC_Evening Me"
